frame,sim_time,particle_idx,pos_x,pos_y,pos_z,net_force_x,net_force_y,net_force_z,net_force_mag,n_contacts,contact_body,contact_normal_x,contact_normal_y,contact_normal_z
0,0.016667,0,-0.200000,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,1,-0.179167,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,2,-0.158333,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,3,-0.137500,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,4,-0.116667,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,5,-0.095833,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,6,-0.075000,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,7,-0.054167,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,8,-0.033333,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,9,-0.012500,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,10,0.008333,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,11,0.029167,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,12,0.050000,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,13,0.070833,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,14,0.091667,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,15,0.112500,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,16,0.133333,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,17,0.154167,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,18,0.175000,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,19,0.195833,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,20,0.216667,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,21,0.237500,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,22,0.258333,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,23,0.279167,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
0,0.016667,24,0.300000,-0.300000,0.008501,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,0,-0.200000,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,1,-0.179167,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,2,-0.158333,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,3,-0.137500,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,4,-0.116667,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,5,-0.095833,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,6,-0.075000,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,7,-0.054167,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,8,-0.033333,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,9,-0.012500,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,10,0.008333,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
1,0.033333,11,0.029167,-0.300000,0.008004,0.000000,0.000000,0.000000,0.000000,1,world/ground,0.000000,0.000000,1.000000
